workerid,proliferate.condition,question_order,error
240,present,break,
240,present,cause_break,
240,present,anger,
240,present,cause_anger,
264,present,cause_break,
264,present,break,
264,present,anger,
264,present,cause_anger,
246,present,cause_anger,
246,present,anger,
246,present,cause_break,
246,present,break,
238,present,break,
238,present,cause_break,
238,present,anger,
238,present,cause_anger,
275,present,cause_anger,
275,present,anger,
275,present,break,
275,present,cause_break,
234,present,break,
234,present,cause_break,
234,present,cause_anger,
234,present,anger,
254,present,cause_anger,
254,present,anger,
254,present,cause_break,
254,present,break,
269,present,anger,
269,present,cause_anger,
269,present,break,
269,present,cause_break,
261,present,anger,
261,present,cause_anger,
261,present,cause_break,
261,present,break,
248,present,break,
248,present,cause_break,
248,present,anger,
248,present,cause_anger,
276,present,cause_anger,
276,present,anger,
276,present,break,
276,present,cause_break,
267,present,anger,
267,present,cause_anger,
267,present,break,
267,present,cause_break,
278,present,anger,
278,present,cause_anger,
278,present,break,
278,present,cause_break,
271,present,cause_break,
271,present,break,
271,present,cause_anger,
271,present,anger,
236,present,anger,
236,present,cause_anger,
236,present,break,
236,present,cause_break,
250,present,cause_break,
250,present,break,
250,present,cause_anger,
250,present,anger,
252,present,break,
252,present,cause_break,
252,present,anger,
252,present,cause_anger,
257,present,break,
257,present,cause_break,
257,present,anger,
257,present,cause_anger,
266,present,cause_break,
266,present,break,
266,present,anger,
266,present,cause_anger,
242,present,cause_break,
242,present,break,
242,present,anger,
242,present,cause_anger,
262,absent,cause_break,
262,absent,break,
262,absent,cause_anger,
262,absent,anger,
247,absent,anger,
247,absent,cause_anger,
247,absent,cause_break,
247,absent,break,
270,absent,break,
270,absent,cause_break,
270,absent,anger,
270,absent,cause_anger,
279,absent,break,
279,absent,cause_break,
279,absent,anger,
279,absent,cause_anger,
235,absent,cause_break,
235,absent,break,
235,absent,anger,
235,absent,cause_anger,
265,absent,cause_anger,
265,absent,anger,
265,absent,cause_break,
265,absent,break,
256,absent,anger,
256,absent,cause_anger,
256,absent,break,
256,absent,cause_break,
280,absent,break,
280,absent,cause_break,
280,absent,anger,
280,absent,cause_anger,
272,absent,break,
272,absent,cause_break,
272,absent,anger,
272,absent,cause_anger,
243,absent,cause_anger,
243,absent,anger,
243,absent,cause_break,
243,absent,break,
255,absent,cause_break,
255,absent,break,
255,absent,cause_anger,
255,absent,anger,
249,absent,break,
249,absent,cause_break,
249,absent,anger,
249,absent,cause_anger,
268,absent,cause_anger,
268,absent,anger,
268,absent,cause_break,
268,absent,break,
253,absent,cause_anger,
253,absent,anger,
253,absent,cause_break,
253,absent,break,
277,absent,anger,
277,absent,cause_anger,
277,absent,break,
277,absent,cause_break,
263,absent,cause_break,
263,absent,break,
263,absent,cause_anger,
263,absent,anger,
245,absent,cause_break,
245,absent,break,
245,absent,cause_anger,
245,absent,anger,
237,absent,anger,
237,absent,cause_anger,
237,absent,cause_break,
237,absent,break,
260,absent,break,
260,absent,cause_break,
260,absent,cause_anger,
260,absent,anger,
239,absent,anger,
239,absent,cause_anger,
239,absent,cause_break,
239,absent,break,
274,absent,anger,
274,absent,cause_anger,
274,absent,break,
274,absent,cause_break,
