workerid,proliferate.condition,anger,break,cause_anger,cause_break,error
240,present,Amy the aggressor.,Kate and Amy had a disagreement and one girl pushed the other onto the drum and broke it.,Amy because she caused Kate to crush the drum.,Amy pushed Kate onto the drum.  When she came into contact during her fall the drum broke.,
264,present,Amy,Amy,Amy,Amy caused the drum to break.,
246,present,Amy because she pushed Kate and made her fall on the drum,He thinks the girls broke the drum,Ben thinks that the girls broke his drum,He thinks that Kate broke it but because Amy pushed her,
238,present,"Maybe a little at both, but really the one who pushed for no reason",The girl with the bow on her head is the one he blames since she pushed the other girl causing her to fall uncontrollably.,He thinks the girl with headband has mainly angered him.,"The girl with the headband because she pushed the other girl
",
275,present,Amy angered Ben.,"Kate broke the drum when she fell, but only because Amy pushed her.",I think Ben is angry at Amy for pushing Kate and causing the drum to be broken.,Amy caused the drum to break.,
234,present,both girls,"i forgot her name, but the black girl broke it by pushing kate into it","he is likely mad at both girls, but the black girl is the main cause",the black girl (i wish it showed her name so i could use it),
254,present,The girl who pushed the other girl into the drum.,"The girl who pushed the girl into the drum, not the one who fell on it.",Mainly the girl who pushed the other girl into the drum but I think he is upset not because of the push but because of the broken drum.,"The girl who pushed the girl, not the one who fell.",
269,present,He is mad at Amy for being reckless and breaking his property,Amy broke it because she pushed Kate,Amy caused Ben to be angry,Amy caused it to break because it was her fault,
261,present,Kate,kate,kate,"kate
",
248,present,Ben thinks that Amy is the one who made him angry.,Ben thinks that Amy broke the drum because she pushed Kate into it.,Amy caused Ben to become angry,Ben thinks that Kate caused the drum to break when she fell into it.,
276,present,The girl who pushd the other girl angered ben because shes the reason the drum broke.,The girl that pushed the other girl.,The girl that pushed the other girl is who ben is mad at.,The girl that pushed the other girl.,
267,present,"Ben is probably mad, and may not be too worried about his friend's safety, since his item is broken.",He probably thinks both girls broke it.,The girl that pushed her friend into the drum.,He probably also thinks both girls caused the drum to break.,
278,present,Ben thinks Kate broke the drum. He is angry at Kate. ,He thinks Kate broke the drum.,Kate caused Ben to be angry. ,He thinks Kate caused the drum to break. ,
271,present,Both of them did,kate,Amy,His friends were fooling around and one broke his drum.,
236,present,I think Ben is angry at both Amy and Kate. He probably blames both of them. ,Kate broke the drum and he thinks she shouldn't have used his drum to break her fall. However he also blames Amy for pushing her into it. ,"They both caused him to be angry. He is mad that his friend pushed his other friend, and mad the other friend didn't fall somewhere else.",Both Kate and Amy.,
250,present,The little girl next to Kate.,"He thinks that Kate broke the drum, but knows the other girl pushed her.","The little girl to the left, not Kate.","I think that Ben thinks she was pushed.  But honestly, she could've been at an angle to where Ben couldn't see she was pushed, thus thinking she just fell into it.",
252,present,Amy and Kate,"Ben may think that Amy intentionally pushed Kate, which caused Kate to fall into his drum and break it.","Ben may think that Amy and Kate are kidding each other. So, Amy and Kate both caused Ben to be angry.",Ben may think that Amy caused the drum to break.,
257,present,The child that pushed Kate onto the vase is the one that angered Ben. ,Ben thinks that the two girls were rough housing and that Kate was pushed onto the vase to break it. ,Ben is angry at the child that pushed Kate onto the vase and thus breaking it. ,The child that pushed Kate. ,
266,present,Amy broke the drum.,Amy,,"Ben likely thinks that Amy pushed Kate into the drum, therefore it is Amy's fault.",
242,present,"amy angered ben by pushing kate, causing kate to break the drum.","kate was pushed by amy, causing kate to fall onto bens drum breaking it.",amy angered ben by pushing kate and causing her to fall onto the drum breaking it.,kate was pushed by amy causing kate to break ben's drum.,
262,absent,Kate,Kate,Kate,Ben probably thinks that Kate broke his drum.,
247,absent,Probably mad at Kate since she's on the ground and is closest to it. Likely thought she was playing with it and broke it.,Kate,Kate,Kate,
270,absent,Amy,I think Ben thinks that the girls were playing around and Amy fell into his drum and broke it. ,Amy,Amy,
279,absent,Ben is angered with Kate because he thinks she broke his drum on purpose.,I think Ben will think that Kate broke his drum. He won't think it was an accident or that Amy pushed Kate. He will think Kate broke it on purpose.,Ben thinks Kate caused his anger because he thinks she broke his drum on purpose.,Ben will think that Kate cause the drum to break because she is the one on the floor beside it and Amy is further away.,
235,absent,Kate angered Ben.,He thinks that Kate broke the drum.,Ben thinks Kate broke the drum and so Kate caused Ben to be angry.,He probably thinks that Kate fell on the drum.,
265,absent,the girls ,"he will believe Kate, she was the first introduction",Girls broke his drum,"Who ever he's known the longest he believes, it depends on what the girls say",
256,absent,Amy angered Ben because she pushed Katie into been drum.,Kate and Amy both ,Amy,Kate and Amy,
280,absent,"Both of the girls, because they allowed it to happen.",He might think the girls fought over the drum and broke it.,"Kate, because she's on the floor.",He might think Kate broke it because she's closer to it.,
272,absent,the one who is closest to the drum,He thinks the girls were playing around and broke the drum,Amy,Amy,
243,absent,Kate has angered Ben because he sees her sitting on the floor with the broken drum.,Ben thinks that Kate broke the drum.,"Ben thinks that both girls are probably involved in his drum being broken because they both are smiling. However, Ben probably thinks that Kate is directly responsible because she is sitting on the floor with the broken drum.",Ben thinks that Kate caused the drum to break.,
255,absent,"Until Ben asks what happened, he cannot possibly have a clue as to how his drum was broken.","Ben most likely thinks it was one or both of his friends. But, instead of jumping to conclusions, Ben should ask his friends what hhappened.","Ben is angry because when he came back from the bathroom, his drum was broken and did not witness it happening. Therefore, Ben should ask how hiss drum got broken.","Ben was not present,, therefore does not know what exactly happened. However, Ben's friends were there when he left and still there when he returned. Ben should ask his friends what happened.",
249,absent,"Kate, the one sitting down next to the broken item.","Ben thinks the girl sitting down, Kate broke it.","Kate, the one who broke his drum..",Ben think Kate broke the drum because she was the closest.,
268,absent,I think he is angry at both of the girls because they look happy the drum is broken. ,He probably thinks Kate broke it because she is the closest and is on the ground. ,That one of the girls broke the drum. I think he is angry because the drum is broken.,I think he probably thinks Kate broke the drum. ,
253,absent,Katie,Katie,He thinks Katie broke it,Katie,
277,absent,Ben probably thinks that Kate broke his drum on purpose for no reason.,He most likely thinks Kate broke his drum,He most likely thinks Kate caused him to be angry,He most likely thinks Kate caused the drum to break,
263,absent,Ben became angry via his own thoughts; so he made himself angry.,"Ben doesnt know what to think because two people are in the room. one is sitting on the floor, but he doesnt know what happen. he'd most likely ask questions","Ben is angry because of the broken item, he wont know who to be angry with until he ask questions.",Most likely he things The girl sitting on the floor created the break - because she sitting on the floor next to it,
245,absent,purple sweater girl,Purple sweater girl,Purple sweater girl,Purple sweater girl,
237,absent,He thinks that the girls were playing with his drum and broke it.,Both girls did while playing with the drum.,Ben thinks the girls ruined his drum on purpose. He is mad at the girls.,He thinks both girls were playing with it and both broke it.,
260,absent,Kate angered Ben but again his anger stems from his drum being broken,Ben thinks that potentially both of them broke the drum or that Kate broke it. That it was broken on purpose and wasnt an accident ,The broken drum caused him to be angry but likely because of Kate who broke it ,Kate because she's on the ground,
239,absent,"Ben thinks the two girls were playing around and as a result of carelessness, they broke his drum. I think he is mad at both of them equally.",He is blaming both until he knows what happened.,"I think both of them caused him to get angry, as he did not see what happened.","He thinks both are equally responsible, if I had to guess.",
274,absent,That one of his friends broke the drum,His friend with long hair,His friend with long hair,His friend with long hair,
