workerid,proliferate.condition,anger,break,cause_anger,cause_break,error
233,absent,Both Amy and Kate,Kate,Kate,Amy,
207,absent,Both girls angered Ben because he was unaware of how the drum broke and the girls haven't told him what happened and are in a good mood.,The girl standing up broke the drum by pushing the girl that is currently on the floor onto the drum.,Both girls caused Ben to be angry because he didn't know who broke his drum.,The girl standing up caused the drum to break by pushing the girl that is currently on the floor onto the drum.,
214,absent,Emily,Kate,Emily pushed Kate and broke his drum.,Kate,
211,absent,Amy angered Ben,Amy pushed Kate and Kate fell and broke the drum.,Amy caused Ben to be angry.,Kate caused the drum to break.,
225,absent,ammy,cate,ammy,cate,
226,absent,Kate and Amy,Amy,Probably both Kate and Amy.,Amy,
205,absent,both amy and kate,amy caused the drum to break by pushing kate,amy and kate,amy,
199,absent,Amy and Kate.,Kate.,Amy.,Amy.,
191,absent,Amy,Amy,"Amy pushing Kate, which caused the drum to break",Amy,
197,absent,Both of the girls,It is the girl in the red's fault,Both of the girls,The girl in red pushed the girl wearing purple into Ben's drum.,
216,absent,Both girls angered Ben since Ben probably not knowing the truth,The little girl with hair up that pushed the other one ,Both caused Ben to be angry since Ben thought they both broke the drum,The little girl with hair up that pushed the other one,
209,absent,amy and kate,amy and kate,amy and kate,"kate
",
201,absent,Nobody. The fact that the drum was broken is what angered him. ,The girl who pushed the other girl. I believe her name was Amy?,"It would be the girl who pushed the other girl. Not the girl who landed on the drum, causing it to break.",Amy caused the drum to break.,
203,absent,The girl on the left.,The girl on the left.,The girl on the left.,The girl on the left caused the issue by pushing the other girl.,
231,absent,Amy ultimately caused the drum to break so it is Amy's fault.,Kate technically broke the drum.,Amy caused Ben to be angry by breaking his drum.,Amy caused the drum to break.,
212,absent,Both Amy and Kate angered Ben for having broken his drum when he was using the bathroom.,Kate broke the drum when Amy pushed her into it.,His drum getting broke caused Ben to become angry.,Amy pushing Kate abruptly into the drum caused it to break.,
220,absent,Amy angered Ben because she pushed Kate that broke Ben's drum. ,Amy broke the drum because she pushed Kate into the drum that broke.,Amy caused Ben to be angry because she pushed Kate that broke Ben's drum. ,Amy caused the drum to break by pushing Kate into it. ,
222,absent,Amy,Kate,Amy,Amy,
230,absent,Amy and Kate,Amy,Amy,Amy,
193,absent,the girls,the woman that shoved,he wanted to play the drum and now he cant,the shove that resulted in the woman falling on the drum,
210,present,amy,"amy, through kate. kate fell upon it, but amy's action was what caused kate's fall.",amy,amy,
221,present,Amy and Kate,Amy because she pushed Kate,Amy and Kate,Amy,
224,present,"both of them
",kate,Kate ,"amy

",
232,present,Amy,Kate broke the drum after being pushed by Amy,Amy and Kate,Amy,
206,present,The girls ,The girls ,The girls actions,The girls who were rough housing,
217,present,no one he's just angry that the drum broke,Kate broke the drum from being pushed into it by Amy,Amy pushing kate into the drum is what caused it to break so that is what cuased him to be angry,Amy? i think it was caused the drum to break by pushing Kate? into the drum.,
204,present,amy,amy,amy,amy,
190,present,The girl on the left who pushed Kate.,"Technically Kate, but more indirectly the girl who pushed Kate onto the drum.","The fact that the girl other than Kate pushed Kate into the drum, breaking it. He is on the surface angry about the broken drum, but underneath also angry about the pushing.","Directly it was Kate, but indirectly it was the girl on the left.",
208,present,Kate technically angered Ben by breaking his drum.,Kate,Kate,The girl who pushed Kate.,
229,present,Amy again.,"Again, Amy.","Amy, because she pushed Kate into the drum","I suppose Amy, since she pushed Kate into the drum.",
194,present,The girl who pushed the other,the girl who pushed the other girl on it,The black girl who pushed the other girl,the girl who pushed the other girl,
219,present,Amy,Amy,Amy caused Ben to be angry because she pushed Kate into his drum,Amy,
215,present,"It is not known who he is angry at, Kate or Amy. He could be angry at one of them or both of them.","Amy because she was the one that pushed Kate, and Kate fell onto the drum and it broke.","Maybe Kate or Amy but it is unknown, he is angry because his drum broke.",Amy because she pushed Kate onto the drum.,
202,present,"Ben's friends Kate and Amy got into a spat. Amy pushed Kate, she fell over and landed on Ben's drum smashing it. Ben became angry and no one was physically hurt.",Kate,Amy,Amy,
196,present,Amy,"Ben has a drum. Kate pushes Amy into the drum, breaking it. Ben is angry. Amy is unhurt.",Amy,Amy,
227,present,ben's friend angered him by pushing his other friend into the drum and breaking it.,kate,his friend,amy,
200,present,"Well, technically Ben made himself angry. But Amy initiated the chaos by shoving Kate. But he might be mad at both of them.",Kate broke the drum when she fell on it.,His drum is broken.,"Amy pushed Kate, who fell onto the drum.",
192,present,Amy,Kate,Amy,Amy,
223,present,Amy for pushing kate which in result ended up breaking his drum,Kate,Army when she pushed cate and she broke the drum,Amy,
198,present,kate,kate,kate,kate,
