workerid,proliferate.condition,balloon,drum,error
366,absent,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
358,absent,"['sad', 'cause_sad', 'pop', 'cause_pop']","['break', 'cause_break', 'anger', 'cause_anger']",
350,absent,"['cause_pop', 'pop', 'sad', 'cause_sad']","['break', 'cause_break', 'anger', 'cause_anger']",
339,absent,"['pop', 'cause_pop', 'cause_sad', 'sad']","['break', 'cause_break', 'anger', 'cause_anger']",
337,absent,"['cause_pop', 'pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'break', 'cause_break']",
329,absent,"['pop', 'cause_pop', 'cause_sad', 'sad']","['break', 'cause_break', 'cause_anger', 'anger']",
323,absent,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_break', 'break', 'cause_anger', 'anger']",
361,absent,"['cause_sad', 'sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
363,absent,"['pop', 'cause_pop', 'sad', 'cause_sad']","['break', 'cause_break', 'anger', 'cause_anger']",
331,absent,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_break', 'break', 'anger', 'cause_anger']",
333,absent,"['cause_pop', 'pop', 'cause_sad', 'sad']","['anger', 'cause_anger', 'break', 'cause_break']",
370,absent,"['pop', 'cause_pop', 'cause_sad', 'sad']","['break', 'cause_break', 'cause_anger', 'anger']",
352,absent,"['cause_sad', 'sad', 'pop', 'cause_pop']","['break', 'cause_break', 'anger', 'cause_anger']",
341,absent,"['cause_pop', 'pop', 'sad', 'cause_sad']","['anger', 'cause_anger', 'cause_break', 'break']",
345,absent,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_break', 'break', 'anger', 'cause_anger']",
368,absent,"['sad', 'cause_sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'cause_break', 'break']",
343,absent,"['cause_sad', 'sad', 'cause_pop', 'pop']","['cause_break', 'break', 'anger', 'cause_anger']",
347,absent,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_break', 'break', 'cause_anger', 'anger']",
356,absent,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_break', 'break', 'cause_anger', 'anger']",
353,absent,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_anger', 'anger', 'break', 'cause_break']",
367,present,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_break', 'break', 'anger', 'cause_anger']",
364,present,"['cause_pop', 'pop', 'sad', 'cause_sad']","['anger', 'cause_anger', 'cause_break', 'break']",
332,present,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_anger', 'anger', 'break', 'cause_break']",
351,present,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'cause_break', 'break']",
340,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'cause_break', 'break']",
348,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'break', 'cause_break']",
360,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['anger', 'cause_anger', 'break', 'cause_break']",
349,present,"['sad', 'cause_sad', 'pop', 'cause_pop']","['cause_break', 'break', 'anger', 'cause_anger']",
328,present,"['cause_sad', 'sad', 'cause_pop', 'pop']","['break', 'cause_break', 'cause_anger', 'anger']",
330,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['break', 'cause_break', 'anger', 'cause_anger']",
346,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_break', 'break', 'anger', 'cause_anger']",
336,present,"['sad', 'cause_sad', 'pop', 'cause_pop']","['cause_break', 'break', 'anger', 'cause_anger']",
369,present,"['cause_sad', 'sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
326,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_anger', 'anger', 'cause_break', 'break']",
342,present,"['cause_sad', 'sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
334,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'cause_break', 'break']",
338,present,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_anger', 'anger', 'break', 'cause_break']",
359,present,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_break', 'break', 'cause_anger', 'anger']",
362,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_break', 'break', 'cause_anger', 'anger']",
354,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
