workerid,proliferate.condition,question_order,error
233,absent,anger,
233,absent,cause_anger,
233,absent,cause_break,
233,absent,break,
207,absent,cause_break,
207,absent,break,
207,absent,cause_anger,
207,absent,anger,
214,absent,cause_anger,
214,absent,anger,
214,absent,break,
214,absent,cause_break,
211,absent,break,
211,absent,cause_break,
211,absent,anger,
211,absent,cause_anger,
225,absent,break,
225,absent,cause_break,
225,absent,cause_anger,
225,absent,anger,
226,absent,break,
226,absent,cause_break,
226,absent,cause_anger,
226,absent,anger,
205,absent,break,
205,absent,cause_break,
205,absent,anger,
205,absent,cause_anger,
199,absent,anger,
199,absent,cause_anger,
199,absent,cause_break,
199,absent,break,
191,absent,anger,
191,absent,cause_anger,
191,absent,cause_break,
191,absent,break,
197,absent,cause_break,
197,absent,break,
197,absent,cause_anger,
197,absent,anger,
216,absent,break,
216,absent,cause_break,
216,absent,anger,
216,absent,cause_anger,
209,absent,anger,
209,absent,cause_anger,
209,absent,break,
209,absent,cause_break,
201,absent,anger,
201,absent,cause_anger,
201,absent,break,
201,absent,cause_break,
203,absent,cause_break,
203,absent,break,
203,absent,cause_anger,
203,absent,anger,
231,absent,anger,
231,absent,cause_anger,
231,absent,cause_break,
231,absent,break,
212,absent,break,
212,absent,cause_break,
212,absent,anger,
212,absent,cause_anger,
220,absent,cause_anger,
220,absent,anger,
220,absent,cause_break,
220,absent,break,
222,absent,cause_anger,
222,absent,anger,
222,absent,cause_break,
222,absent,break,
230,absent,cause_break,
230,absent,break,
230,absent,anger,
230,absent,cause_anger,
193,absent,cause_anger,
193,absent,anger,
193,absent,cause_break,
193,absent,break,
210,present,break,
210,present,cause_break,
210,present,anger,
210,present,cause_anger,
221,present,break,
221,present,cause_break,
221,present,cause_anger,
221,present,anger,
224,present,break,
224,present,cause_break,
224,present,anger,
224,present,cause_anger,
232,present,break,
232,present,cause_break,
232,present,cause_anger,
232,present,anger,
206,present,cause_break,
206,present,break,
206,present,cause_anger,
206,present,anger,
217,present,cause_break,
217,present,break,
217,present,anger,
217,present,cause_anger,
204,present,cause_anger,
204,present,anger,
204,present,cause_break,
204,present,break,
190,present,cause_anger,
190,present,anger,
190,present,break,
190,present,cause_break,
208,present,anger,
208,present,cause_anger,
208,present,cause_break,
208,present,break,
229,present,cause_anger,
229,present,anger,
229,present,cause_break,
229,present,break,
194,present,cause_anger,
194,present,anger,
194,present,break,
194,present,cause_break,
219,present,cause_anger,
219,present,anger,
219,present,break,
219,present,cause_break,
215,present,break,
215,present,cause_break,
215,present,cause_anger,
215,present,anger,
202,present,anger,
202,present,cause_anger,
202,present,cause_break,
202,present,break,
196,present,break,
196,present,cause_break,
196,present,cause_anger,
196,present,anger,
227,present,anger,
227,present,cause_anger,
227,present,cause_break,
227,present,break,
200,present,anger,
200,present,cause_anger,
200,present,cause_break,
200,present,break,
192,present,break,
192,present,cause_break,
192,present,anger,
192,present,cause_anger,
223,present,cause_anger,
223,present,anger,
223,present,cause_break,
223,present,break,
198,present,anger,
198,present,cause_anger,
198,present,break,
198,present,cause_break,
