workerid,proliferate.condition,anger,anger_cause,break,break_cause,warmup_crumble,warmup_switch,error
130,mental_mental_absent,Amy,Amy caused ben to be mad,Kate broke the tower,Amy told kate to say crumble,i think so,  Yes the tower will fall when he turns if off or when he says crunle,
126,mental_mental_absent,Amy and KAte,Amy,"Amy
",Amy,Yes,Yes,
118,mental_mental_absent,kate,the tower fell,kate,kate said crumble and it fell but it was because the girl lied and told her to say it,yes,yes,
175,mental_mental_absent,Amy,Amy,Kate,Amy,"Yes, it will.","Yes, it will.",
122,mental_mental_absent,Kate,Kate,Kate,Kate,yes,yes,
134,mental_mental_absent,Amy,Amy,Amy,Amy,yes,yes,
183,mental_mental_absent,"Kate technically, but she did not know that it would anger him.","Technically Kate, but it was Amy's fault by lying to her and causing her to break the tower.",Kate,Amy,yes,yes,
185,mental_mental_absent,His friend who he told not to say crumble.,His friend who told Kate to say crumble.,Her friend who said crumble,Her friend who said crumble.,"Yes, the tower will fall.","Yes, as the unit is currently on, if the switch is flipped, the tower will fall.",
138,mental_mental_absent,"Amy, she knew the rule and chose to lie to Kate about using the word crumble.","Amy, she was dishonest and chose to lit to Kate. Amy instructed Kate to say the word that casued the tower to fall. ","Amy, she chose to ignore Ben's rule. Amy chose to be hateful and convince Kate to say crumble.",Amy caused the tower to break by lying to Kate and encouraging her to say the word crumble.,"Yes, because the blocks can hear you.","Yes, because the magnets will be turned off. ",
110,mental_mental_absent,Amy,Amy,Katie,Amy,yes,yes,
154,mental_mental_absent,Amy.,Amy.,Amy.,Amy caused the tower to break because she told Kate to say crumble.,"Yes, the tower will fall.",Yes.,
170,mental_mental_absent,Amy because she lied about saying Crumble to Kate. ,"Amy, because she lied to Kate, and Kate said crumble. ","Amy, because she lied to Kate. ","Amy, because she lied to Kate. ",Yes. ,Yes. ,
146,mental_mental_absent,Amy,Amy,Amy,Amy,Yes,Yes,
142,mental_mental_absent,Amy,Amy,Amy,Amy,yes,yes,
158,mental_mental_absent,Amy,Amy,Amy,amy,Yes.,Yes.,
114,mental_mental_absent,Kate,Kate,Kate,Kate,yes,yes,
162,mental_mental_absent,Kate,Kate,Kate,Kate,Yes,Yes,
166,mental_mental_absent,Amy and Kate,Amy,Kate,"Amy told Kate to say ""crumble""","yes, the tower will fall when Ben says ""crumble""","yes, the tower will fall",
106,mental_mental_absent,Kate did.,"Kate performed the action, but the other girl was the reason why she did it. ",Kate did. ,Kate did.,Yes,Yes,
150,mental_mental_absent,kate,Kate,Kate,Kate,yes,yes,
155,physical_physical_present,Kate,Kate,Kate,Kate,"Yes, saying crumble turns the magnets off. ","Yes, it will fall because it turns off the magnets. ",
151,physical_physical_present,"Sarah, not Kate pushed kat backwards, into the tower. The tower crumbled a little.",The girl on the left.,"April, the girl on the left.",The girl on the left. by her action. The girl on the right is innocent.,Yes the box can hear the command to crumble.,"Yes, the switch turns the electric current off. ",
163,physical_physical_present,Amy because she pushed Kate into the tower breaking it. ,Amy because she pushed Kate into the tower causing it to break. ,Amy broke it because she is the one who pushed Kate into it.,Amy cause it to break because she is the one who pushed Amy. ,Yes because the voice command will cause the switch to turn off and the magnets will then turn off as well. ,Yes because the magnets will turn off. ,
