workerid,proliferate.condition,balloon,drum,error
635,absence,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
604,absence,"['sad', 'cause_sad', 'cause_pop', 'pop']","['break', 'cause_break', 'cause_anger', 'anger']",
633,absence,"['pop', 'cause_pop', 'cause_sad', 'sad']","['cause_break', 'break', 'anger', 'cause_anger']",
643,absence,"['pop', 'cause_pop', 'sad', 'cause_sad']","['break', 'cause_break', 'cause_anger', 'anger']",
641,absence,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_break', 'break', 'cause_anger', 'anger']",
625,absence,"['cause_pop', 'pop', 'cause_sad', 'sad']","['anger', 'cause_anger', 'cause_break', 'break']",
614,absence,"['cause_pop', 'pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'cause_break', 'break']",
631,absence,"['sad', 'cause_sad', 'cause_pop', 'pop']","['anger', 'cause_anger', 'break', 'cause_break']",
616,absence,"['cause_sad', 'sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'break', 'cause_break']",
622,absence,"['pop', 'cause_pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'cause_break', 'break']",
610,absence,"['sad', 'cause_sad', 'cause_pop', 'pop']","['break', 'cause_break', 'cause_anger', 'anger']",
606,absence,"['cause_sad', 'sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'break', 'cause_break']",
627,absence,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_anger', 'anger', 'cause_break', 'break']",
646,absence,"['cause_sad', 'sad', 'cause_pop', 'pop']","['cause_break', 'break', 'anger', 'cause_anger']",
637,absence,"['cause_pop', 'pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'cause_break', 'break']",
639,absence,"['sad', 'cause_sad', 'pop', 'cause_pop']","['cause_break', 'break', 'anger', 'cause_anger']",
620,absence,"['cause_pop', 'pop', 'sad', 'cause_sad']","['anger', 'cause_anger', 'cause_break', 'break']",
612,absence,"['cause_sad', 'sad', 'pop', 'cause_pop']","['cause_break', 'break', 'anger', 'cause_anger']",
608,absence,"['cause_pop', 'pop', 'cause_sad', 'sad']","['cause_anger', 'anger', 'cause_break', 'break']",
629,absence,"['cause_pop', 'pop', 'sad', 'cause_sad']","['cause_break', 'break', 'cause_anger', 'anger']",
632,present,"['sad', 'cause_sad', 'pop', 'cause_pop']","['cause_anger', 'anger', 'break', 'cause_break']",
638,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'cause_break', 'break']",
619,present,"['sad', 'cause_sad', 'pop', 'cause_pop']","['cause_break', 'break', 'cause_anger', 'anger']",
617,present,"['cause_sad', 'sad', 'cause_pop', 'pop']","['break', 'cause_break', 'anger', 'cause_anger']",
603,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'cause_break', 'break']",
640,present,"['cause_pop', 'pop', 'sad', 'cause_sad']","['cause_anger', 'anger', 'break', 'cause_break']",
609,present,"['cause_pop', 'pop', 'sad', 'cause_sad']","['break', 'cause_break', 'cause_anger', 'anger']",
626,present,"['sad', 'cause_sad', 'pop', 'cause_pop']","['break', 'cause_break', 'anger', 'cause_anger']",
630,present,"['pop', 'cause_pop', 'sad', 'cause_sad']","['break', 'cause_break', 'cause_anger', 'anger']",
623,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['anger', 'cause_anger', 'cause_break', 'break']",
605,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
615,present,"['cause_pop', 'pop', 'cause_sad', 'sad']","['anger', 'cause_anger', 'break', 'cause_break']",
642,present,"['cause_pop', 'pop', 'sad', 'cause_sad']","['anger', 'cause_anger', 'cause_break', 'break']",
628,present,"['cause_pop', 'pop', 'cause_sad', 'sad']","['anger', 'cause_anger', 'cause_break', 'break']",
611,present,"['cause_pop', 'pop', 'sad', 'cause_sad']","['anger', 'cause_anger', 'break', 'cause_break']",
644,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['cause_anger', 'anger', 'break', 'cause_break']",
624,present,"['sad', 'cause_sad', 'cause_pop', 'pop']","['anger', 'cause_anger', 'cause_break', 'break']",
636,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'cause_break', 'break']",
634,present,"['cause_sad', 'sad', 'pop', 'cause_pop']","['anger', 'cause_anger', 'break', 'cause_break']",
